1615 238000 大山            
035126 237000 華新統一0C購04  
031236 235000 正隆群益0A購01  
030197 235000 南帝凱基0A購03  
034262 235000 大成鋼國票0C購02
082613 235000 上証2X永豐07購01
030005 234000 新唐中信0A購01  
031051 234000 光磊元大0C購01  
080756 234000 中興電元大06購07
4989 234000 榮科            
4958 233063 臻鼎-KY         
031259 233000 康普群益0C購01  
034930 233000 世紀鋼國泰11購01
078848 233000 聯電統一08購03  
084930 233000 圓剛元大08購02  
035785 232000 裕民國泰13購01  
2351 232000 順德            
5388 232000 中磊            
033652 231000 允強統一15購01  
033581 231000 燁輝凱基12購02  
087164 230000 炎洲永豐09購01  
034524 230000 大成鋼康和0B購01
06203P 230000 臺股指群益08售03
07260P 230000 臺股指國票0B售22
081193 230000 國巨元大07購08  
083899 230000 順德元大07購06  
2457 227483 飛宏            
032655 227000 亞泥麥證0B購01  
077648 227000 金像電統一07購01
032779 226000 義隆元大0B購01  
2107 226000 厚生            
086373 225000 國喬國票0A購01  
07220P 225000 萬海元大0B售12  
086564 224000 智易元大0A購01  
034746 224000 群創元大0B購11  
00762 223855 元大全球AI      
087759 223000 光磊富邦0B購01  
1416 223000 廣豐            
034215 223000 大成鋼元富12購02
034325 223000 中鋼群益0C購06  
03749C 222000 臺股指凱基0C牛07
2305 222000 全友            
06553P 222000 台灣50群益0A售05
085222 222000 台表科國泰0A購01
03733P 221000 大毅元富08售01  
034517 221000 大亞元富0B購02  
035215 221000 聯電第一15購03  
085089 221000 恆大凱基08購01  
080604 220000 世紀鋼統一08購01
080474 220000 元石油元大07購02
083108 220000 欣興元大07購10  
00653L 218000 富邦印度正2     
00643 217718 群益深証中小    
032748 217000 南茂凱基0A購02  
1527 217000 鑽全            
087784 217000 光磊永豐09購01  
032104 216000 長榮永豐0A購09  
033941 216000 聚陽國票0C購01  
034801 216000 友達凱基11購04  
1795 215000 美時            
06539P 215000 臺股指凱基09售25
081492 215000 長榮凱基0A購03  
034138 214000 遠東新凱基0C購01
034737 214000 長榮元大0B購12  
07136P 214000 宏碁凱基0B售01  
084412 214000 精英國泰09購01  
076563 214000 國巨富邦07購02  
031623 213000 聯電統一0C購03  
030942 213000 申豐群益0A購01  
1789 212000 神隆            
2491 212000 吉祥全          
3031 212000 佰鴻            
033702 212000 中石化國票0C購01
033967 212000 榮成凱基0C購01  
034270 212000 矽創國票0C購01  
031358 211000 大成鋼中信0A購01
033084 211000 矽創統一0A購02  
032563 211000 裕民群益0A購02  
031897 211000 台聚永豐0A購03  
035752 211000 中鋼元富0B購07  
06575P 211000 儒鴻元大09售02  
033576 211000 力鵬凱基13購01  
033505 210000 欣興統一11購02  
05935P 210000 聯電凱基08售05  
083784 210000 聯發科中信0A購04
083366 210000 恆大國票08購01  
030151 209000 臺股指凱基11購04
033604 209000 東鋼群益0C購03  
06842P 209000 景碩元大0A售04  
032556 208000 台船群益0B購01  
033591 208000 國泰金凱基15購01
033569 208000 南電永豐0B購01  
